product_id,
4806,GC-13T8/4F/GL
4807,GC-14.5T8U6
4808,GC-9.5T8/2F
4809,GC-10.5T8/3F
4810,GC-14T8/4F
4811,GC-11.5T8
4812,GC-15.5BR40DIM
4813,GC-11BR40DIM
4815,GC-5.5GU10DIM
4816,GC-7.5MR16DIM
4817,GC-7MR16DIM
4818,GC-25PAR38HO
4819,GC-19.5PAR30HO
4830,CTL-LWP24SQ-UDN
4831,CTL-CL50P24-D
4832,CTL-CL36P14-D
4833,CTL-CL36P22-D
4837,CTL-C15122
4841,CTL-LB50R20-D
4842,WM-CSL-4FT-25W
4844,WM-LSL-4FT-40W
4845,WM-LSL-2FT-20W
4849,WM-WA-4FT-30W
4850,WM-WA-2FT-25W
4851,WM-WAS-4FT-42W
4854,WM-LTR-2X4-50W
4855,WM-LTR-2X2-40W
4857,CTL-LB75PAR30
4858,CTL-LB50PAR20
4863,WM-LP-1X4-40W
4864,WM-LP-2X4
4865,WM-LP-2X2-40W
4867,WM-CL-FLT
4873,WM-CL-HL-54W
4874,WM-CL-HL-45W
4875,WM-CL-HL-36W
4876,WM-CL-HL-27W
4879,WM-LLVT-8FT
4880,WM-LLVT2-4FT
4881,WM-LLVT-2FT-25W
4882,WM-LLVT-4FT
4883,WM-LLHB3-2FT-100W
4884,WM-LLHB2
4885,WM-UFHB
4886,WM-LHB2-50W
4888,WM-WMS-R
4889,WM-WMS-S
4890,WM-SL-10W
4891,WM-SL-30W
4893,LT-LED-MINI
4896,WM-SL-20W
4898,WM-SL-28W
4899,WM-LGP
4905,WM-FLD2-42-TR
4907,JI-EV-CHB01-100WCA1
4909,JI-ZY-DL6DWP-13W
4910,JI-ZY-DL4DWP-10W
4912,WM-FLD2-28-TR
4913,WM-FLD2-15-TR
4914,WM-FLD2-50-KN
4915,WM-FLD2-42-KN
4916,WM-FLD2-28-KN
4917,WM-FLD2-15-KN
4918,WM-LRS-D
4919,WM-LRS-C
4920,WM-LRS-B
4921,WM-LRS-A
4922,WM-LDS-12W
4923,WM-FLV12-32W
4924,WM-FLV12-24W
4925,WM-FLV12-12W
4926,WM-FLV12-6W
4927,WM-LFLV-12W
4928,WM-LF4-12V
4933,WM-STL3-480V
4934,WM-STL2
4944,WM-LF4-150-TR
4945,WM-LF4-100-TR
4946,WM-LF4-80-TR
4948,WM-LF4-30-TR
4951,OD-LHPAR38DIM/FL-16-CASE12
4955,OD-LFM16ALDIM-23-CASE4
4956,OD-LVL2ALDIM-23-CASE6
4958,WM-LF4-50-KN
4964,WM-FLS-10W
4968,OD-LST4DIM-34-CASE6
4970,WM-FLH-10W
4978,OD-21531-MRNU
4979,OD-21530-MRNU
4980,OD-21416-MRNU
4981,OD-21415-MRNU
4982,OD-21400-MRNU
4983,OD-21358-MRNU
4984,OD-21357-MRNU
4994,WM-LF3-HL-480V
4999,WM-LF3-80/100-SF
5002,WM-LF3
5008,WM-LF3-HL
5009,WM-LTW-50
5012,WM-WMV-20W
5013,TLI-ZENL
5014,TLI-VK
5015,TLI-TRM
5016,TLI-RLB
5017,TLI-RL
5018,TLI-TTN
5019,TLI-TVM
5020,TLI-TGM
5021,WM-WML2
5022,WM-LW360-60/80-G2
5023,WM-LW360-25W
5024,TLI-TDSP
5025,TLI-TDS
5026,TLI-TEMS
5027,TLI-SDM
5028,TLI-PP
5029,TLI-PLLG
5030,TLI-PLSM
5031,TLI-OMGW
5032,TLI-ON
5033,TLI-OA
5034,TLI-NES
5036,TLI-MHT
5037,TLI-MEDC
5038,TLI-Mi-L13.0
5039,WM-LWP2-80W
5040,WM-LWA
5041,TLI-MSL
5042,TLI-MS
5043,TLI-LN
5044,TLI-HRT
5046,WM-WML-120
5049,WM-WML-30
5053,TLI-LNDS-L25.0
5054,TLI-GPM-L35.0-120/277
5059,TLI-HRTS
5060,TLI-GPL-L48.0-120/277V
5061,TLI-GRDM
5062,WM-LFCO-150W
5063,WM-LFCO
5064,TLI-FZW
5065,TLI-FZ
5066,TLI-CRNW
5067,ILP-FWW8
5068,ILP-FWW4
5069,TLI-LNDM-L11.5
5070,TLI-LCR
5071,TLI-HT
5073,TLI-FUN-MON-L50.0
5074,ILP-FNW8
5075,ILP-FNW4
5076,ILP-RX8
5077,ILP-RX4-24W-U
5078,TLI-FLX
5079,TLI-FLW
5080,TLI-DV
5081,TLI-DNB48
5082,TLI-DNB24
5083,TLI-BEOC-L13.0
5085,TLI-DR
5086,TLI-DRX
5087,TLI-AY48
5088,TLI-AY36
5091,TLI-AY24
5092,TLI-ALO48
5093,TLI-ALO24
5095,TLI-ALLW
5099,TLI-CVAD
5100,TLI-CVAS
5101,TLI-BK
5111,ILP-RTR4
5129,TLI-DLA
5130,TLI-BLRM
5131,ILP-RTR2
5138,SE-PEAK
5139,SE-ATHENA-S36-24V
5140,SE-APEX-L30-120V
5141,SE-ACCENT
5142,TF-LTX132X1
5143,TLI-ECLS
5144,TLI-FL
5145,TLI-ESQW
5146,TLI-CTO-L21.6
5147,TLI-CTDY-L21.0
5148,TLI-CTDW-L21.0
5149,TLI-CPO-L20.0
5151,TLI-CDL-L48.0
5152,TLI-CDT-L35.0
5153,TLI-BPL-L48.0
5154,TLI-BPM-L48.0
5155,TLI-BGW
5156,TLI-BGE
5157,TLI-BEC-L13.0
5158,TLI-ADW
5159,TLI-AD
5162,TL-WP03
5164,TL-CAN1TNC
5165,TL-SAL1
5188,TLI-PTR
5189,TLI-NEBO
5190,TLI-MSA
5191,TLI-LS
5203,TLI-KA
5204,TLI-INV
5205,TLI-EN
5206,TLI-DPB
5207,TLI-AO
5208,TLI-AT
5209,TLI-AE
5272,FL-WL-VL41
5273,ETH-ETH-WP-4-34W
5304,HLM-H-QSN161
5315,HLM-H-QSN15117-SA
5349,HLM-H-QSN15
5350,HLM-H-QSN16
5351,HLM-H-QSN15117-C
5352,HLM-H-QSN
5354,MAG-FY-HB-600D
5366,MAG-LEDFL45W50K277
5378,MAG-VPL-FL
5379,MAG-VPLWPS
5387,MAG-LS-7ESB300WHV
5398,MAG-LS-7ESB450WCT3
5399,MAG-LS-7ESB300W
5404,MAG-LS-7ESB150WHV
5405,MAG-LS-ESB150W
5413,MAG-ZS-PL2x4
5414,MAG-ZS-PL2x2
5420,MAG-ZS-TF2X2-Q01-40
5450,FL-GL-T8LO-24BA40(FA8)
5459,ETH-T8-4F
5461,TF-LLLFRCROSS
5462,FL-CPL603*603-40W-D-1
5463,ETH-B09-225W-H
5464,TF-LLLFRTEE
5465,TF-LLLFROS90
5466,TF-LLLFRIS90
5467,TF-LLLFRCORNER
5468,TF-LLLFR96L49W4335L
5469,E-LED15WA19-OMN-
5470,TF-LLLFR48L24W2125L
5471,ETH-B0
5472,ETH-K05-30W-H
5473,ETH-K03-30W-H
5474,ETH-50W-126-28-TG-01
5475,ETH-30W-66-28-TG-01
5477,JI-GRL
5479,TL-RTFK1
5481,TL-MWP1
5482,TL-RWP1
5483,TL-TWP1
5484,T1-EPBLED22/B
5486,BL-LEDMRK24
5487,BL-LEDMRK22
5490,BL-LEDFHB-V2
5491,HLT-RHB
5498,JI-EV-100BC2-C
5499,JI-EV-050AC2
5500,JI-EV-030AC2
5501,JI-EV-020AC2
5503,JI-EV-010AC2
5504,EL-EPN24-
5505,EL-EPN22-
5506,JI-BT8
5509,EL-DLC6S-20
5514,JI-BT8P
5515,JI-ZY-T8P
5516,JI-ZY-T8-40W2400
5517,JI-ZY-T8-22W1200
5521,EL-EB40-
5524,JI-ZY-ST8FT60
5525,JI-ZY-ST4FT40
5541,PI-PT-CDL-27W-6''
5542,PI-PT-CDL-
5543,PI-PT-CDL
5546,MAG-LED-FM
5551,PI-PT-HBL3
5554,PI-PT-WPH2
5555,JI-EV-SLW-150WB1
5556,JI-EV-SLW-80WB1
5560,ELI-E1SL1M20D4
5562,ELI-E1ST3A
5563,JI-EV-SLW-60WB1E26
5564,JI-EV-SLW-40WB1E26
5565,JI-EV-SLW-30WB1E26
5566,JI-ZY-SRT
5567,JI-ZY
5573,JI-EV
5577,ELI-E1STA
5578,ELI-E5B310D
5581,ELI-E2HBA
5582,ELI-E1CPC
5583,JI-ZY-STAP4FTLW
5585,WM-SCPL-UD-4FT-60W
5589,ELI-E2DLB11D6
5593,SU-LFX-MU-16W-E-D
5594,SU-LFX/DC07/MINI/ORB/E/D/15W
5602,ELI-E2HBD
5604,RP-7589
5605,ELI-E1PL9.5-830
5606,ELI-E1WPL13-835
5608,ELI-E1ALB
5609,ELI-E3SB
5611,WM-SCL-RS
5612,WM-SCL-ASC
5615,WM-SCL-100FT-SJTW18
5619,WM-SCL
5628,MX-L12T8DF4
5629,MX-HL-130UF
5630,MX-HL-090
5631,MX-AR100
5632,MX-12BR40DLED
5633,MX-120PT
5635,ILP-H38
5636,MX-MLIT24D32
5637,MX-MLIT22D25
5638,ILP-CL4
5639,ILP-CL2
5640,ILP-C4
5641,ILP-C2
5643,MX-E9A19DLED
5644,MX-L10.5T8SE4
5645,TF-SVRHB15L
5646,TF-RHB15L
5647,TF-LT5BG46L25W3300L
5648,TF-LT8ABP48L
5649,TF-L10T8BGC48L
5650,TF-LT8BGC48L15W1740L
5651,TF-LT8BGC36L12W1200L
5652,TF-LT8BGC24L9W1050L
5653,TF-LT8BG48L15W1740L
5655,TF-C232
5657,TF-207A
5658,TF-UCPF
5660,WM-SCR-24D
5661,WM-SRPL-40W
5662,TF-131A
5667,WM-LESW
5668,WM-LMW-12W
5673,NL-NBBU
5674,NL-LHB-ECO
5676,TL-CDL1MAX-8-25W-RD
5677,NL-TP500
5683,NL-TP325
5685,LT-LEDH-SR5P-S-UTD
5686,NL-NBRL
5687,NL-NBXL-100W
5688,NL-BB350
5689,NL-TP882
5690,TL-CDL1MAX-6-18W-SQ
5691,T1-FLED-A
5692,T1-FLED-
5693,T1-FLED
5699,TF-44PSF
5700,TL-ZS-T8-FA8
5701,TL-ZS-T8
5703,LT-LEDH-SR5P-S-UZTD
5706,TL-RHB
5707,TL-LHB-5- 325W
5708,TL-SPDL1ECO-8-20W-40K
5709,TF-L23PSF
5710,TL-FDPL1
5711,TL-CDL1MAX-6-18W
5712,TL-CDL1APEX
5716,T1-FLED/A/50
5718,T1-WPLED
5719,T1-SWPLED
5720,T1-MWPLED/A/20
5721,T1-BLEDRTFK
5722,T1-VTLED
5723,T1-PBLED
5724,LT-LEDH-SR5P
5725,T1-PWALED2/B
5726,AL-OMNI-3KIT
5727,AL-OMNI-1
5728,AL-LR-LED
5729,T1-RHBLED/A/
5730,T1-HBLED
5734,EE-RHB
5735,AE-U-ISL
5736,AE-U-LPCN
5737,WM-USHB
5738,AE-U-IWP-15
5739,AE-L-HOSL
5740,AE-U-HFL
5741,LT-LEDH-SR5P-C-UZTD
5742,AE-U-HALL
5743,LT-LEDH-SR6C-UZTD
5744,LT-LEDH-SR6W-UZTD
5745,AE-U-HALM
5746,LT-LEDH-SR6P-UZTD
5747,WM-LLHB4-300W
5748,WM-LLHB4-200W-MP
5749,WM-LLHB4-150W
5750,WM-LLHB4-100W
5751,WM-LLHB4-50W
5752,WM-LLHB
5753,AE-L-HBRS-100
5754,ILP-PHB-TC
5755,AE-L-HBUFO-320
5756,LT-LEDH-SR6P-S-UTD
5757,AE-L-HBUFO-100
5759,ATG-BO
5761,ATG-PTV
5762,ILP-FZ8
5763,ILP-FZ4
5764,ATG-AA
5765,ILP-VTR8
5766,ILP-VTR
5768,WM-SDL3S-ADJ
5769,WM-RDL3S-ADJ
5770,WM-SDL2S-BF
5771,WM-RDL2S-BF
5772,ILP-CFM
5773,ILP-CFS-36W-U
5774,ILP-ARM6
5780,ILP-AL-100WLED-UNIV-AMBER
5781,ILP-WPCM-100WLED-UNIV-AMBER
5782,ILP-WPCS-50WLED-UNIV-AMBER
5783,ILP-PAN24
5784,ILP-PAN22
5785,ILP-PAN14
5786,WM-LPS-2X4
5787,WM-LPS-2X2
5788,WM-LPS-1X4
5789,WM-LPS-1X2
5790,WM-LPS-S8
5792,WM-LPS-S4
5793,GL-RDL-5-10-120D
5797,BL-LEDCORN
5798,BL-LEDWPC30W
5800,GL-IHB-412
5801,LT-LEDH-SR6P-S-UZTD
5802,BL-LEDWPPCSNF-20W
5804,BL-LEDMPALPRO-T3
5805,BL-LEDMPALPRO
5806,BL-LEDMPALPRO50
5807,BL-LEDMPALPRO30
5808,BL-LEDMPALPRO15
5809,GL-LHT8-CASE25
5810,BL-LEDOSEC-3
5811,BL-LEDOSEC-2
5812,BL-LEDOSEC-1
5813,BL-LEDA19
5815,BL-BL8TCLD
5816,BL-BL6TCLD
5817,BL-BL4TCLD
5819,BL-BRK-LED
5820,LT-LEDH-SR6P-C-UTD
5822,BL-BRK-LED8A-BW-54W
5823,BL-BRK-LED8A-BW-27W
5824,BL-BRK-LED6A-BW
5825,BL-BRK-LED56-SGR
5826,BL-BRK-LED56-GR
5827,BL-BRK-LED56-BW
5830,BL-BRK-LED4-GR
5831,BL-BRK-LED4
5834,BL-SPS
5835,BL-LPS
5836,BL-MPS
5839,BL-BRK-LED350-BW
5842,BL-LEDUC-E48
5843,BL-LEDUC-E34
5844,BL-LEDUC-E24
5845,BL-LEDUC-E18
5846,BL-LEDUC-E12
5847,BL-LEDUC-E9
5848,BL-LEDUC
5860,SE-SC-AR
5861,SE-IC-AR
5862,BL-RHR
5868,SE-EC-CV
5872,SE-SC-RB
5882,LT-LEDH-SR6P-C-UZTD
5886,SE-SC-LC
5891,SE-VENUS-R14-24V
5893,SE-FROZEN-L36-24V
5894,SE-FORGE-L168
5895,SE-FRIO4
5896,SE-RACUS2-R7-24V
5897,SE-FLEX-F300-24V-K
5898,BL-R-5HO
5899,BL-FLEDR-2
5900,BL-LEDR-2
5901,BL-R-2
5902,BL-R-16
5903,BL-R-1
5904,SE-RIBBON-F306-24V
5905,SE-CROWN-NARROW
5906,SE- APEX-L30-120V
5907,SE-ASTRO-R1-120V
5908,SE-SPOCK-MONO-R1-277V
5909,SE-SPOCK-R1-120V-3
5910,SE-PATH-L300-277V
5911,BL-LEDR-1
5912,SE-LINCUS-L12
5914,SE-STRIDE-L48
5916,SE-TINA-L60
5917,SE-PHOENIX-L64
5921,BL-NYDXR
5922,BL-LEDTFX
5926,BL-LEDSDXR627
5929,BL-LEDR-7
5932,HU-DZ
5935,HU-DZ Dual Head
5936,LT-LEDH-SR8P-S-UTD
