parent_sku,child_sku,color_tempartore,Wattage_Options
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-3000K-277V-N28,3000K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-3000K-277V-M36,3000K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-3000K-277V-W60,3000K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-3500K-120V-N28,3500K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-3500K-120V-M36,3500K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-3500K-120V-W60,3500K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-3500K-277V-N28,3500K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-3500K-277V-M36,3500K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-3500K-277V-W60,3500K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-4000K-120V-N28,4000K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-4000K-120V-M36,4000K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-4000K-120V-W60,4000K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-4000K-277V-N28,4000K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-4000K-277V-M36,4000K,"20 Watts"
LT-LEDMCL-1LN,LT-LEDMCL-1LN-20W-4000K-277V-W60,4000K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-3000K-120V-N28,3000K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-3000K-120V-M36,3000K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-3000K-120V-W60,3000K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-3000K-277V-N28,3000K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-3000K-277V-M36,3000K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-3000K-277V-W60,3000K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-3500K-120V-N28,3500K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-3500K-120V-M36,3500K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-3500K-120V-W60,3500K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-3500K-277V-N28,3500K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-3500K-277V-M36,3500K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-3500K-277V-W60,3500K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-4000K-120V-N28,4000K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-4000K-120V-M36,4000K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-4000K-120V-W60,4000K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-4000K-277V-N28,4000K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-4000K-277V-M36,4000K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-15W-4000K-277V-W60,4000K,"15 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-3000K-120V-N28,3000K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-3000K-120V-M36,3000K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-3000K-120V-W60,3000K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-3000K-277V-N28,3000K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-3000K-277V-M36,3000K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-3000K-277V-W60,3000K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-3500K-120V-N28,3500K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-3500K-120V-M36,3500K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-3500K-120V-W60,3500K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-3500K-277V-N28,3500K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-3500K-277V-M36,3500K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-3500K-277V-W60,3500K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-4000K-120V-N28,4000K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-4000K-120V-M36,4000K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-4000K-120V-W60,4000K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-4000K-277V-N28,4000K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-4000K-277V-M36,4000K,"20 Watts"
LT-LEDMCL-2LN,LT-LEDMCL-2LN-20W-4000K-277V-W60,4000K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15W-3000K-120V-N28,3000K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15W-3000K-120V-M36,3000K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15W-3000K-120V-W60,3000K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15W-3500K-120V-N28,3500K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15W-3500K-120V-M36,3500K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15W-3500K-120V-W60,3500K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15W-4000K-120V-N28,4000K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15W-4000K-120V-M36,4000K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15W-4000K-120V-W60,4000K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20W-3000K-120V-N28,3000K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20W-3000K-120V-M36,3000K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20W-3000K-120V-W60,3000K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20W-3500K-120V-N28,3500K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20W-3500K-120V-M36,3500K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20W-3500K-120V-W60,3500K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20W-4000K-120V-N28,4000K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20W-4000K-120V-M36,4000K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20W-4000K-120V-W60,4000K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15-30-27-NA,3000K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15-30-27-ME,3000K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15-30-27-WI,3000K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15-35-27-NA,3500K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15-35-27-ME,3500K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15-35-27-WI,3500K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15-40-27-NA,4000K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15-40-27-ME,4000K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-15-40-27-WI,4000K,"15 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20-30-27-NA,3000K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20-30-27-ME,3000K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20-30-27-WI,3000K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20-35-27-NA,3500K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20-35-27-ME,3500K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20-35-27-WI,3500K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20-40-27-NA,4000K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20-40-27-ME,4000K,"20 Watts"
LT-LEDMCL-3LN,LT-LEDMCL-3LN-20-40-27-WI,4000K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-3000K-120V-N28,3000K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-3000K-120V-M36,3000K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-3000K-120V-W60,3000K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-3000K-277V-N28,3000K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-3000K-277V-M36,3000K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-3000K-277V-W60,3000K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-3500K-120V-N28,3500K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-3500K-120V-M36,3500K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-3500K-120V-W60,3500K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-3500K-277V-N28,3500K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-3500K-277V-M36,3500K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-3500K-277V-W60,3500K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-4000K-120V-N28,4000K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-4000K-120V-M36,4000K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-4000K-120V-W60,4000K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-4000K-277V-N28,4000K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-4000K-277V-M36,4000K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-15W-4000K-277V-W60,4000K,"15 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-3000K-120V-N28,3000K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-3000K-120V-M36,3000K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-3000K-120V-W60,3000K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-3000K-277V-N28,3000K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-3000K-277V-M36,3000K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-3000K-277V-W60,3000K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-3500K-120V-N28,3500K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-3500K-120V-M36,3500K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-3500K-120V-W60,3500K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-3500K-277V-N28,3500K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-3500K-277V-M36,3500K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-3500K-277V-W60,3500K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-4000K-120V-N28,4000K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-4000K-120V-M36,4000K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-4000K-120V-W60,4000K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-4000K-277V-N28,4000K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-4000K-277V-M36,4000K,"20 Watts"
LT-LEDMCL-4LN,LT-LEDMCL-4LN-20W-4000K-277V-W60,4000K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-3000K-120V-N28,3000K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-3000K-120V-M36,3000K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-3000K-120V-W60,3000K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-3000K-277V-N28,3000K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-3000K-277V-M36,3000K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-3000K-277V-W60,3000K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-3500K-120V-N28,3500K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-3500K-120V-M36,3500K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-3500K-120V-W60,3500K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-3500K-277V-N28,3500K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-3500K-277V-M36,3500K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-3500K-277V-W60,3500K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-4000K-120V-N28,4000K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-4000K-120V-M36,4000K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-4000K-120V-W60,4000K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-4000K-277V-N28,4000K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-4000K-277V-M36,4000K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-15W-4000K-277V-W60,4000K,"15 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-3000K-120V-N28,3000K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-3000K-120V-M36,3000K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-3000K-120V-W60,3000K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-3000K-277V-N28,3000K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-3000K-277V-M36,3000K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-3000K-277V-W60,3000K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-3500K-120V-N28,3500K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-3500K-120V-M36,3500K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-3500K-120V-W60,3500K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-3500K-277V-N28,3500K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-3500K-277V-M36,3500K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-3500K-277V-W60,3500K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-4000K-120V-N28,4000K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-4000K-120V-M36,4000K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-4000K-120V-W60,4000K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-4000K-277V-N28,4000K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-4000K-277V-M36,4000K,"20 Watts"
LT-LEDMCL-1LN-Trimless,LT-LEDMCL-1LN-Trimless-20W-4000K-277V-W60,4000K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-3000K-120V-N28,3000K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-3000K-120V-M36,3000K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-3000K-120V-W60,3000K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-3000K-277V-N28,3000K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-3000K-277V-M36,3000K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-3000K-277V-W60,3000K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-3500K-120V-N28,3500K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-3500K-120V-M36,3500K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-3500K-120V-W60,3500K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-3500K-277V-N28,3500K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-3500K-277V-M36,3500K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-3500K-277V-W60,3500K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-4000K-120V-N28,4000K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-4000K-120V-M36,4000K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-4000K-120V-W60,4000K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-4000K-277V-N28,4000K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-4000K-277V-M36,4000K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-15W-4000K-277V-W60,4000K,"15 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-3000K-120V-N28,3000K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-3000K-120V-M36,3000K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-3000K-120V-W60,3000K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-3000K-277V-N28,3000K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-3000K-277V-M36,3000K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-3000K-277V-W60,3000K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-3500K-120V-N28,3500K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-3500K-120V-M36,3500K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-3500K-120V-W60,3500K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-3500K-277V-N28,3500K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-3500K-277V-M36,3500K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-3500K-277V-W60,3500K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-4000K-120V-N28,4000K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-4000K-120V-M36,4000K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-4000K-120V-W60,4000K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-4000K-277V-N28,4000K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-4000K-277V-M36,4000K,"20 Watts"
LT-LEDMCL-2LN-Trimless,LT-LEDMCL-2LN-Trimless-20W-4000K-277V-W60,4000K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-3000K-120V-N28,3000K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-3000K-120V-M36,3000K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-3000K-120V-W60,3000K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-3000K-277V-N28,3000K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-3000K-277V-M36,3000K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-3000K-277V-W60,3000K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-3500K-120V-N28,3500K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-3500K-120V-M36,3500K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-3500K-120V-W60,3500K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-3500K-277V-N28,3500K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-3500K-277V-M36,3500K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-3500K-277V-W60,3500K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-4000K-120V-N28,4000K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-4000K-120V-M36,4000K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-4000K-120V-W60,4000K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-4000K-277V-N28,4000K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-4000K-277V-M36,4000K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-15W-4000K-277V-W60,4000K,"15 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-3000K-120V-N28,3000K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-3000K-120V-M36,3000K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-3000K-120V-W60,3000K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-3000K-277V-N28,3000K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-3000K-277V-M36,3000K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-3000K-277V-W60,3000K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-3500K-120V-N28,3500K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-3500K-120V-M36,3500K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-3500K-120V-W60,3500K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-3500K-277V-N28,3500K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-3500K-277V-M36,3500K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-3500K-277V-W60,3500K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-4000K-120V-N28,4000K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-4000K-120V-M36,4000K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-4000K-120V-W60,4000K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-4000K-277V-N28,4000K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-4000K-277V-M36,4000K,"20 Watts"
LT-LEDMCL-3LN-Trimless,LT-LEDMCL-3LN-Trimless-20W-4000K-277V-W60,4000K,"20 Watts"
LT-LEDMCL-4LN-Trimless,LT-LEDMCL-4LN-Trimless-15W-3000K-120V-N28,3000K,"15 Watts"
LT-LEDMCL-4LN-Trimless,LT-LEDMCL-4LN-Trimless-15W-3000K-120V-M36,3000K,"15 Watts"
LT-LEDMCL-4LN-Trimless,LT-LEDMCL-4LN-Trimless-15W-3000K-120V-W60,3000K,"15 Watts"
LT-LEDMCL-4LN-Trimless,LT-LEDMCL-4LN-Trimless-15W-3000K-277V-N28,3000K,"15 Watts"
LT-LEDMCL-4LN-Trimless,LT-LEDMCL-4LN-Trimless-15W-3000K-277V-M36,3000K,"15 Watts"
LT-LEDMCL-4LN-Trimless,LT-LEDMCL-4LN-Trimless-15W-3000K-277V-W60,3000K,"15 Watts"
LT-LEDMCL-4LN-Trimless,LT-LEDMCL-4LN-Trimless-15W-3500K-120V-N28,3500K,"15 Watts"
LT-LEDMCL-4LN-Trimless,LT-LEDMCL-4LN-Trimless-15W-3500K-120V-M36,3500K,"15 Watts"
LT-LEDMCL-4LN-Trimless,LT-LEDMCL-4LN-Trimless-15W-3500K-120V-W60,3500K,"15 Watts"
LT-LEDMCL-4LN-Trimless,LT-LEDMCL-4LN-Trimless-15W-3500K-277V-N28,3500K,"15 Watts"
LT-LEDMCL-4LN-Trimless,LT-LEDMCL-4LN-Trimless-15W-3500K-277V-M36,3500K,"15 Watts"
